                                                 █               ,En garde humain,Non euh je pense qu’il me restera un peu d’énergie ,2,Tes bras ne sont pas plus gros que ceux d’une puce,Mes bras ne vont pas tenir le coup oof,2,Tu es la personne la plus laide que j’ai rencontré ,ARHg comment le sais-tu,3,Tristecire à fondu dû à la pression vous remportez le combat,On dirait bien que vous avez perdu ; la chaleur était trop intense pour un si petit corps tel que le votre visiblement…
                                                 █░              ,1.Tu vas fondre avant d’arriver a moi 2. Pff ca a déjà ete dit et redis 3.Range ton couteau s il te plait 4.attention tu vas bruler,ARGh euh je suis plus original que ça,3,1.Les tiens fondent déjà  2.Mais j’ai pas de puce 3.Mais les tiens ne sont pas plus gros que ceux d’un insecte 4.C’est pour ça que tu te grattes moi j’irai voir un véto,Tu n’en n’auras pas besoin je vais t’anéantir,1,1.Je crois que tu n’a jamais vu ton visage dans un miroir 2. Tu es vraiment lache pour t’attaquer au physique 3.Ma mère m’a dit que j’étais le plus beau du monde  4.bha toi aussi hein,HA oui j’ai abandonné ma dignité pour ce combat,2,<end>,<end>
                                                ███              ,<end>,BWAHAHA je vais faire l’inverse,0,<end>,Pff ça ne m’atteins pas  ,0,<end>,Elle devait sacrément t’aimer dis donc,0,0,0
                                              ░██▓█▒             ,0,je me brule déjà depuis ma naissance,1,0,OOF j’ai déjà ete le voir il ne peut rien pour moi,3,0,Tu te contente juste de répéter comme un perroquet,1,0,0
                                            ░▓█▓▓▓█▓             ,0,0,0,0,0,0,0,0,0,0,0
                                         ▒▓██▓▓▓▓▓▓█             ,0,0,0,0,0,0,0,0,0,0,0
                                  ▒▒▓▓█████▓▓▒▒▒▒▓▓█             ,0,0,0,0,0,0,0,0,0,0,0
                               ▒█████▓▓▓▓▓▓▒▒▒▒▒▒▓▓█             ,0,0,0,0,0,0,0,0,0,0,0
                             ▒██▓▓▓▓▓▓▓▒▒▒▒▒▒▒▒▒▓▓▓█             ,0,0,0,0,0,0,0,0,0,0,0
                            ██▓▓▓▓▓▓▒▒▒▒▒▒░░░▒▒▒▓▓▓█         ░▒▒ ,0,0,0,0,0,0,0,0,0,0,0
                           ▓█▓▓▓▓▒▒▒▒▒▒░░   ░░▒▒▓▓█▓        ▓▒░▓▓,0,0,0,0,0,0,0,0,0,0,0
                          ░█▓▓▓▓▒▒▒▒░░░░    ░░▒▒▓▓█        ░█ ░▒▓,0,0,0,0,0,0,0,0,0,0,0
                          ██▓▓▓▒▒▒░░░       ░▒▒▓▓█▓         ▓▓█▓▓,0,0,0,0,0,0,0,0,0,0,0
                          ▓█▓▓▒▒▒░         ░▒▒▓▓██               ,0,0,0,0,0,0,0,0,0,0,0
              ░▓▓█        ▓█▓▓▒▒░         ░▒▒▓▓▓█                ,0,0,0,0,0,0,0,0,0,0,0
              ▓░ █▓    ▒▒▒▒█▓▓▒▒░  ░░▒▒  ░▒▒▓▓██           ▒███▓ ,0,0,0,0,0,0,0,0,0,0,0
              ▓  ▒█▒ ▒▓▒   ▓█▓▓▒▒ ▒▓▓█▒ ░▒▒▓██▓▓█▓        ░█ ░▓█ ,0,0,0,0,0,0,0,0,0,0,0
              ▒▓  ▒██▓      ▓█▓▓▒░▓▓▓▓ ▒▒▓██▓  ▒▓██       ▓░ ░▓█ ,0,0,0,0,0,0,0,0,0,0,0
               ▒▓   ▒        ░███▓▓▓▓▓▓██▓▒    ░▓▓█▒     ▒▒ ░▓█░ ,0,0,0,0,0,0,0,0,0,0,0
 ▒▓             ▒▓▒            ▓███████▓        ▒▓██ ░▒▒▒▒ ▒██░  ,0,0,0,0,0,0,0,0,0,0,0
 █▓               █▒           ░▓█████▓        ▒▓▓▓██▓▓▒▒▓██▓    ,0,0,0,0,0,0,0,0,0,0,0
▓░▒               ▓▒             ░▒▒▒░       ░▒▓▓▓▓▓▓▓▓███▒      ,0,0,0,0,0,0,0,0,0,0,0
█  ▓              ▓▓                       ░▒▓▓▓▓▓▓▓██▓▒         ,0,0,0,0,0,0,0,0,0,0,0
█  ▓▓              █░░░░              ░░▒▓▓████▓▓▓▓█▓            ,0,0,0,0,0,0,0,0,0,0,0
█  ▒▓█             ▓░          ░░▒▒▒▒▓▓▓█████▓▓▓▓▓█▒             ,0,0,0,0,0,0,0,0,0,0,0
█  █▒█          ░▒▒░ ░░      ░░▒▒▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓█              ,0,0,0,0,0,0,0,0,0,0,0
▓░ █▓█▒       ▒▒▒▒▓▓████▒       ░▒▒▒▒░░░▒▒▒▓▓▓▒▒▒▓█              ,0,0,0,0,0,0,0,0,0,0,0
░▒ ▒█▓▓     ░▓  ▒█▓ ▒█▒▓█▒          ░▒▒░   ░▒▓▓▓░░█              ,0,0,0,0,0,0,0,0,0,0,0
 ▓  █▓█     █ ░██░   ▓  ▓▓ ░▒▓█▓▒▒▓██████▓  ░████ ▒█             ,0,0,0,0,0,0,0,0,0,0,0
 ▒▓ ▒█▓█    ▓▓█▓     ▓▒ ░▓ ▒████████▒▒▒▒▓█▒  ██▒█▒ ▓█▓▓▓▓▓▒▒     ,0,0,0,0,0,0,0,0,0,0,0
  ▓  ███▒    ▒░       ▓  ▓▓██▒        ░░▒▒█  ▒█▒▓▒  █▓     ▒█░   ,0,0,0,0,0,0,0,0,0,0,0
  ▓░  ███  ▒▓██      ▒█   ▒░            ░░▓▓ ░█▓▒█ ▒█░   ░▓▒█▓   ,0,0,0,0,0,0,0,0,0,0,0
  ░▓   ███▓░██    ▒▓▓░▒   ▒█▒             ▒██▓█▒▓▒▓██▓██▓▓██▓    ,0,0,0,0,0,0,0,0,0,0,0
   ▓▓░ ░███▓██  ░▓▒        ██▓█▓░       ▒██▓██▒▒▒ ▒██▓░░▓█▒      ,0,0,0,0,0,0,0,0,0,0,0
    ▒▓▓▒▒▒███  ▒▓     ░     █▒▒███▓  ▒████ ▒█▒▒░▒██░             ,0,0,0,0,0,0,0,0,0,0,0
      ▓█▒▓▓██░░█   ░▒▒█▓     ▒▒░▒▓▒  ░▒▓▒░▓▓▒▓░██▒               ,0,0,0,0,0,0,0,0,0,0,0
      ▓░██▓█▒ █░░▒▒▓▓███      ▒▓        ▒█▓▒▓▓▒█        ░░       ,0,0,0,0,0,0,0,0,0,0,0
     ▓▓█████████▓▓██▓▒ ▓▒      ███▒░░░▓██▓░▒▓▓▒▓      ░▓▒▒▓      ,0,0,0,0,0,0,0,0,0,0,0
    ▒███ ▓▒▓▓████▒░    ▒▓       ████████▓ ▒▒▓▓▓▓░░    ▓░ ▒█▓     ,0,0,0,0,0,0,0,0,0,0,0
     ▒▒   █▒▓█████     ▒▓        █▓░░░█▓ ▒▒▓▓▒  ░▒█▒  ▒▓▓▓█░     ,0,0,0,0,0,0,0,0,0,0,0
            ▒█████▓     █        ░█▒▒▓▒ ░░█▓ ░▓▓█▓█▒    ░        ,0,0,0,0,0,0,0,0,0,0,0
              ▓███     ░█▒░      ▒▒▒▓▓▓▓▒█▓ ▒█████▓              ,0,0,0,0,0,0,0,0,0,0,0
                       ██▒▓▒      ▓▓▓▓▒▒▓█ ▒█████                ,0,0,0,0,0,0,0,0,0,0,0
                      ▓▒░█▒░           █ ▒ ▓▓▓██                 ,0,0,0,0,0,0,0,0,0,0,0
                     ▒▓   ██▓░       ░▒░  ▒▓▓▓█                  ,0,0,0,0,0,0,0,0,0,0,0
                     ▓    ▓█▓█▓▓▒▒▒▒▒▒▒▒▓▓▒▓▓█▓                  ,0,0,0,0,0,0,0,0,0,0,0
                     ▓    █▒  ▒▓█████▓███▓▓▓▓▒                   ,0,0,0,0,0,0,0,0,0,0,0
                     █   ░█░       ░░░░                          ,0,0,0,0,0,0,0,0,0,0,0
                     ░▓▒▒▓▓                                      ,0,0,0,0,0,0,0,0,0,0,0
Tristecire apparaît,0,0,0,0,0,0,0,0,0,0,0
Condition : faire un score de 6,0,0,0,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,0,0
