                                                        ░  ░               ,Sous peu ; je vais t’embrocher avec ma lance,Ca m’est déjà arriver,2,J’ai parlé à des singes qui étaient plus polis que toi ,Oui et je vais t’envoyer mes piques ,2,Tu ne peux pas comparer ton esprit au mien ; pauvre idiot,Arrête s’il te plait….,3,concombrageur est confus vous remportez ce duel.,Le Concombrageur vous pique les fesses pour vous chasser ; vous laissez tomber un fragment en vous enfuyant.
                                                      ░▓▓▓▓▓▓▒░            ,1.A force de brandir ta lance dans tous les sens ; tu vas te la prendre 2. Arrête tu vas blesser quelqu’un 3.D’abord arrête la de la brandir comme un plumeau 4.Et moi avec un bâton de bois,Oui car mon but est de te blesser,0,1.Et toi avec des cactus 2.Et toi t’es pas poli non plus 3.Mais c est faux 4.Je vois que tu as passe du temps chez tes parents,Je le suis infiniment plus que toi,1,1.Si tu l’utilise je vais vraiment avoir peur 2. Vu la taille de ton cerveau j’en doute 3.Pardon...  4.Le melon quoi,Mon cerveau est adapté a ma tête arrête,2,<end>,<end>
                                                     ▓█▓▒░░ ░▒█            ,<end>,Euhh… c’est pas un plumeau c’est une magnifque lance,3,<end>,La preuve tu ne me réponds même pas ,0,<end>,Oui c’est ça pardonne toi,0,0,0
                                                     █▓▓▓▒░░░░█▒           ,0,Ton bâton ne me feras rien contre ma lance,1,0,Arhg pourquoi tu as attaque mais parents,3,0,Je ne sais pas pourquoi moi je suis un cactus,1,0,0
                                                      ▓█▓▒▒▒▒▒█▒           ,0,0,0,0,0,0,0,0,0,0,0
              ▒▓▓▓▓▓▒▒                    ░▒▒▓▒▒▒░    ▓█████▓▓             ,0,0,0,0,0,0,0,0,0,0,0
           ▒███▓▓▓▓▓▓▓█▓░             ░▒▓▓▓▓▓▓▓▓▓▓▓▓░░█▓▓███               ,0,0,0,0,0,0,0,0,0,0,0
          ███▓▓▓▓▓▓▓▓▒▒▓█▒          ▒▓█▓▒▒░░░░▒▓▓▓▓▓██▓▓▓▓▒░               ,0,0,0,0,0,0,0,0,0,0,0
         ██▓▓▓▓▓▓▒▓▒▓▒▓▒▓█        ▒██▓▒▒▒░░▒▓▓▓▓▒▒▒▓▓▒▒▓█                  ,0,0,0,0,0,0,0,0,0,0,0
        ██▓▓▓▓▓▓▒▓▒▒▒▒▒▒▓█      ░██▓▒▒░░░▒▓▓▓▒▒░░▒▒▒▒▒▓█▓▓▒                ,0,0,0,0,0,0,0,0,0,0,0
       ▓█▓▓▓▓▓▓▓▓▒▓▓▓▓▓▓█▓     ▒█▓▒▒▒░░░▒▒▓▒▒▒▒░▒▒▒░░░░▒█▒█▓               ,0,0,0,0,0,0,0,0,0,0,0
       ██▓▓▓▓▓▓▓▒█▓▒░▒▒▓█▒    ▓▓▒▒▒▒░░░░░▒▒▒▒░░▒▒░░░░░ ▒█▒▒█               ,0,0,0,0,0,0,0,0,0,0,0
       ██▓▓▓▓██▓▓█▒▒▒▒▒░░▓▓░ █▓▒▒▒░░▓▒▒▒▓▒░░▒░░▒▒░░░░░░▓▒░▒█▒              ,0,0,0,0,0,0,0,0,0,0,0
      ▒█▓█▓▓░   █▓▒▒████▓▒▒██▒▒▒▒▒░█░▒▓▒░█▒░░▒▒▒░▒░░ ░▓▒ ░░█░              ,0,0,0,0,0,0,0,0,0,0,0
      ▒▓▒██▓▓▒  █▒▒▓▓▓█░▓▓▒▒▒▒▒▒▒░▓▓ ███ ▓▓░░░░░░░░░▒▓▒ ░░▒█               ,0,0,0,0,0,0,0,0,0,0,0
