                                      ░▒▓▓▓▓▓▓█▓▓▒▒                                       ,Prends garde à mes 9 tentacules !,Ah ! Je n’avais pas pris en compte ce paramètre ; mince,3,Tout l’océan connaît ma cruauté,Je ne les ai jamais connu ; donc je n’ai jamais eu besoin d’eux,2,Je suis le monstre marin le plus malin des mers ! As tu une idée de mon QI,J’ai 9 bras ; ça suffira pour t’empêcher de me bully,1,Le Médigluant a pris peur et s’est enfui,Le Médigluant t’entoure avec ses tentacules; tu es tout gluant maintenant beeurk  !
                                    ▒▓▓▓▒▒▒▒▒▒▓▓█████▒                                    ,1.Toute ma force est répartit dans mes deux bras ; alors que la tienne ; dans 9 ; si tu sais bien calculer ; tu comprendras ta peur 2.Oh ne me chatouille pas avec ! 3.Tu serais un bon acteur dans un certain type de films 4.Oooh ; que tu es visqueux ; bouaah,Elles ne servent pas à chatouiller enfin ; elles vont te mettre KO,1,1.Tu as du faire fuir tes parents ; que c’est moche 2.Oui ; celle d’un bébé 3.Tu ne ferais même pas de mal à une mouche ; t’es bien trop mignon 4.Je suis bien plus cruel que toi !,Mais arrêtez avec ça ! Je peux être plus puissant que n’importe qui si je le voulais !,3,1.Parfois la tête ne fait pas tout ; il faut aussi savoir se battre ! 2.L’espèce connue la plus intelligente est le poulpe ; tu ne voudrais pas que je t’appelle face de poulpe quand même 3.Très bien ; alors combien font (784*421)/75 alors monsieur je sais tout ? 4.Un chiffre négatif. Au minimum,Je ne suis pas un poulpe mais un Médigluant !,2,<end>,Il fouille dans tes poches et te vole un fragment !
                                  ░▓▓▒▒░░░▒▒▒▒▒▒▒▓▓████▒                                  ,<end>,Eh ! Je ne suis pas un pervers !,2,<end>,Tout ce qui est petit est mignon ; mais mortel ; ça te rappelle quelqu’un ?,1,<end>,4400.85333 Tu me prend vraiment pour un thon !,0,0,<end>
                                 ░▓▒▒░  ░▒▒▒▒▒▒▒▒▒▓▓▓███▒                                 ,0,C’est bien le but voyons !,0,0,Pour le grand héros ; cela sonne bien faux,0,0,Eh ! Négatif ; c’est pas 0 ; haHA !!,3,0,0
                                ▒▓▒░  ░▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓███▒                                ,0,0,0,0,0,0,0,0,0,0,0
                               ▒▓▒▒░░▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓▓███▒                               ,0,0,0,0,0,0,0,0,0,0,0
                              ░▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▒▓▓▒▓▓▓█████                              ,0,0,0,0,0,0,0,0,0,0,0
                             ░▓▒▒▒▒▒▒▒▒▒▒▒░▒▒▒▒░░░▒▓▓▓▓██████░                            ,0,0,0,0,0,0,0,0,0,0,0
                            ▒▓▒▒▒▒▒▒▒▒▒▒░░█ ▒▓▒ █▒ █▓▓███████▓                            ,0,0,0,0,0,0,0,0,0,0,0
                            ▓▒▒▒▒▒▒▒▒▒▒▒▒░░░▓▒▓▒░░▓█▓████░ ░█▒                            ,0,0,0,0,0,0,0,0,0,0,0
                            ▓▒▒▒▒▒▒▒▒▒▒▓█████████████████░░▓▓                             ,0,0,0,0,0,0,0,0,0,0,0
                            ░▓▓▓▓████▓▓███▓▓▓▓▓▓█████████▒█▒                              ,0,0,0,0,0,0,0,0,0,0,0
                              ▒▒▒▒▓▓▓█▓▓█▒█████▓█▓█▓▒░░░░░                                ,0,0,0,0,0,0,0,0,0,0,0
                                 ░▒▒▒░▒▓░░▓▒▓░█░░▓▒▒▓▒                                    ,0,0,0,0,0,0,0,0,0,0,0
                                ▒▒▒▓░▒▓░ █░ ▓░░█ ░█░▒█▓▓▒                                 ,0,0,0,0,0,0,0,0,0,0,0
                               ▓▒▒░▒▒▒ ░▒▓ ▓░░░██ ▒▒░▒▓▒▒▓                                ,0,0,0,0,0,0,0,0,0,0,0
                               ▒▓░░▒▓ ░▒▒░▒▓ ░░▓█▒░▒░▒▒ ▒▒▓░                              ,0,0,0,0,0,0,0,0,0,0,0
                               ░░▒▒▓  ▒▒▒ ▒▓ ░░▒██ ▓░▒▒▒ ▒▓▒                              ,0,0,0,0,0,0,0,0,0,0,0
                              ▓▓▒▓▒   ▒▒▒ ▒▓ ▒░█▓▒▒▓▒ ▒▓░                                 ,0,0,0,0,0,0,0,0,0,0,0
                               ░░    ▒░▓░░▒▓ ▒▓▓▓▒▓▒  ▒▒▒▒                                ,0,0,0,0,0,0,0,0,0,0,0
                                    ▓▒▒▓ ▒▒▓    ▒▒▓    ▒▒▓█▒                              ,0,0,0,0,0,0,0,0,0,0,0
                                   ░▓▓▓  ▒▒▓   ░▒▒▒      ░░                               ,0,0,0,0,0,0,0,0,0,0,0
                                        ░▒▓▒   ▒▒▓                                        ,0,0,0,0,0,0,0,0,0,0,0
                                        ░▒▓░  ░▒▒▒                                        ,0,0,0,0,0,0,0,0,0,0,0
                                        ▒▒▓░  ░▒▒▓                                        ,0,0,0,0,0,0,0,0,0,0,0
                                        ░▒▒▓   ▒▒█                                        ,0,0,0,0,0,0,0,0,0,0,0
                                         ▒░▓▒   ▒░                                        ,0,0,0,0,0,0,0,0,0,0,0
                                         ░▒░▓▒                                            ,0,0,0,0,0,0,0,0,0,0,0
                                          ░▓▓█░                                           ,0,0,0,0,0,0,0,0,0,0,0
                                            ░░                                            ,0,0,0,0,0,0,0,0,0,0,0
Un Médigluant apparaît,0,0,0,0,0,0,0,0,0,0,0
Condition : faire un score de 6,0,0,0,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,0,0
