7,7,7,7,7,7,7,7,7,70/\,7,7,7,7,70/\,7,7,70/\,7,70 /,70\/,70\ ,7,70 /,70\/,70\ ,7,7   1,7   1,0   2duniya_plain,5   2duniya_plain,5   2duniya_plain,0   2duniya_plain,0   2duniya_plain,7   1,7   1,7,70 /,70\/,70\ ,70 /,70\/,70\ ,7,70/\,7,70/\,7,7,70/\,7,7,7,7,70/\,7,7,7,7,7,7,70/\,7,7
7,7,7,70/\,7,7,7,7,70 /,70\/,70\ ,7,70/\,70 /,70\/,70\ ,70 /,70\/,70\ 1,7   1,75||1,7   1,7   1,7   1,75||1,7   1,7   1,0,0,0,5,5,0,0,0,0,7   1,7   1,75||1,7   1,7   1,75||1,7   1,70 /,70\/,70\/,70\/,70\ ,70 /,70\/,70\ ,7,7,70 /,70\/,70\ ,7,70/\,7,7,70 /,70\/,70\ ,7
7,7,70 /,70\/,70\ ,7,70/\,7,7,75||,7,70 /,70\/,70\ ,75||,7,7   1,75||1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,7   1,75||1,7   1,75||1,7,7,75||,7,7,70/\,7,75||,7,70 /,70\/,70\ ,7,7,75||,7,7
7,7,7,75||,7,70 /,70\/,70\ ,70/\,7,7,7,75||,7   1,7   1,7   1,0,0,0,0,05_.,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7   1,7   1,7   1,7   1,70 /,70\/,70\ ,7,7,7,75||,7,7,7,7,70/\,7
7,7,7,7,7,7,75||,70 /,70\/,70\ ,70/\,7,7   1,0,0,0,0,0,05_.,0,50||1,0,0,0,0,03 *,0,0,0,5,5,5,0,0,0,0,0,05* ,0,0,0,0,0,0,07/\1,0,0,0,0,0,0,7   1,75||1,7   1,7   1,7,7,7,70/\,7,7,70 /,70\/,70\ 
7,70/\,7,7,7,7,7,7,75||,70 /,70\/,70\ 1,0,0,0,05__,05._,0,50||1,0,0,0,05._,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,03 *,07 /,07\/1,07\ ,0,0,0,0,0,0,0,07/\1,0,7   1,7   1,70 /,70\/,70\ ,7,7,75||,7
70 /,70\/,70\ ,7,70/\,7,7,70/\,7,7,75||1,0,0,0,0,50||1,50||1,0,0,0,0,0,50||1,02 *,0,0,0,0,5,5,5,0,0,04* ,0,0,0,0,0,0,0,0,0,0,05||1,0,05* ,0,0,0,07/\1,0,07 /,07\/1,07\ ,0,0,7   1,75||1,7,70/\,7,7,70/\
7,75||,7,70 /,70\/,70\ ,70 /,70\/,70\ ,7   1,0,0,0,0,0,50||1,50||1,0,0,74^^4Sihta,0,05_.,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,03 *,0,0,0,0,0,0,0,07__,07__,0,07 /,07\/1,07\ ,0,05||1,0,07/\1,0,0,0,70 /1,70\/,70\ ,70 /,70\/
7,7,7,7,75||,7,7,75||1,7   1,0,0,0,0,0,0,0,0,0,05._,0,0,50||1,0,0,0,04* ,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 /,17\ 1,1   1,07\ ,0,05||1,0,0,0,07 /,07\/1,07\ ,0,0,0,75||1,7,7,75||
7,7,70/\,7,7,7,7   1,0,0,0,0,0,0,0,03 *,0,0,0,50||1,0,0,0,05 *,0,0,0,5,5,0,0,0,03 *,0,0,04* ,0,0,0,0,0,0,0,04* ,07/\1,0,17/_1,17_\1,17__1,17_\1,0,57__1,57__1,57__1,0,0,05||1,0,0,0,0,0,7   1,7,7
7,70 /,70\/,70\ ,7,7   1,0,0,0,0,0,0,0,0,1   1,1   1,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,05* ,0,02 *,0,0,07 /,07\/1,07\ ,0,0,0,0,0,0,0,0,0,0,07__,07__,05* ,0,07/\1,0,0,7   1,7
