                          ▒▒▓▒▓░░                                           ,Ho une personne de ton gabarit doit être faible,Oui et alors,0,Tu peux encore prendre tes jambes a ton cou,Je pourrais facilement t’attacher avec t es bras,1,Personne n’a jamais réussi a me blesser ,Uuuuh alors je suis pas un trouillard arrête s’il te plaît,2,La Vampivol est désemparée vous remportez ce duel !!!,La Vampivol vous assène un gros coup sur la tête ; ce qui vous fait vous évanouir. Elle en profite pour vous volez un fragment.
                       ░▒▒░▒░▒▒▒▓▒░                                         ,1.C est vraiment pas gentil 2. Pas plus faible que toi en tout cas 3.Et toi ton gabarie ne dépasse même pas celle d un insecte 4.Mirroir,Argh tu m as attaque sur le physique,3,1.Oui je suis très souple 2.Rien à faire je tiendrais jusqu’au bout 3.Non mais je peux utiliser mes bras 4.Arrête de me bully,Oof euh c est ce qu on verra,3,1.En restant cacher c’est normal 2.Tu voles si vite que ça ? 3.Tu voles c est normal  4.Euh tu mens j’en suis sûre !!,Argh c est vraiment pas gentil de me traiter de lâche,3,<end>,<end>
                     ░▓▒▒░░░░░░░░▒▓▓                                        ,<end>,On n attaque pas sur la taille,2,<end>,Je n’avais pas pensé à cette option,2,<end>,C’est bien l’essence de ma technique pauvre idiots !,1,0,0
                    ▒▓▒░░░░░░░░░░░░▓▓                                       ,0,Contre-mirroir,1,0,Hahaha je vais avoir le plaisir de continuer,0,0,He bien je vais te le prouver sur le champ !,0,0,0
                   ▓▓▒▒░░░░░░░░░░░░░▓░                                      ,0,0,0,0,0,0,0,0,0,0,0
                 ░▓▒▒░░░░░░░░░░░░░░▒▓▒                                      ,0,0,0,0,0,0,0,0,0,0,0
                 ▓▓▒▒░░░░░░░░░░░░░░▒▓                                       ,0,0,0,0,0,0,0,0,0,0,0
                ▓░░▓▒░░░░░░░░░░░░▒▒▓▓                                       ,0,0,0,0,0,0,0,0,0,0,0
                ▓  ░▓▓▒░░░░░░░░▒▒▓▓▓                                        ,0,0,0,0,0,0,0,0,0,0,0
               ▒▒    ▒▓▓▒▓▒▓▒▒▓▓▓▓░                        ▒▒▒▒░            ,0,0,0,0,0,0,0,0,0,0,0
               ▒░░░    ░█▓▒▒▒▒▓▓▒                       ░▒▓▓▒▒▒▓            ,0,0,0,0,0,0,0,0,0,0,0
               ▓░░       ▓▓▓▓▒▒▒▒▒                     ▒▓▒▒▒▒▓▓▒            ,0,0,0,0,0,0,0,0,0,0,0
              ░█░          ▓▓▓▓▓▒▓▓                  ▒▓▒▒▒▓▓▒░              ,0,0,0,0,0,0,0,0,0,0,0
              ░▓░░         ▒  ▒▓▓▓▓▓                ▒▓▒▒▓▓▒                 ,0,0,0,0,0,0,0,0,0,0,0
              ░▓░░        ▒     ▓▓▓▓▓              ▓▓▒▓▓▒                   ,0,0,0,0,0,0,0,0,0,0,0
               ▓░░       ▒       ░▓▒▓▓ ░░▒▒▒░▒░░  ▓▓▒▓▓                     ,0,0,0,0,0,0,0,0,0,0,0
               ▓▓▓░     ▒▒        █▓▒▓▓▒▓▒▒▒▒▒▓▓▓█▓▒▓░                      ,0,0,0,0,0,0,0,0,0,0,0
             ▒▒▓▒▓▓     ▓░     ▒▓▓▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒░▓▓░            ▒         ,0,0,0,0,0,0,0,0,0,0,0
           ▒▓▒▒▒▒▒█░   ░▓    ▓▓▓▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓░        ░▓▓▓▒       ,0,0,0,0,0,0,0,0,0,0,0
         ▒▓▒▒▒▒▒▒▒▒▓   ░▒  ▒▓▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▒      ▒▓▒▒▒▒▓░     ,0,0,0,0,0,0,0,0,0,0,0
        ▓▓▒▒▒▒▒▒▒▒▒▓▓░  ▒ ▓▓▓▒▒▒▒▒▓▓▒▒▓▓▓▒▒▒▒▒▒▒▒▒▓▓▓▒▒▒▓▒    ▒▓▒▒▒▒▒▒▓░    ,0,0,0,0,0,0,0,0,0,0,0
      ▒▓▒▒▒▒▒▒▒▒▒▒▒▒▒▓▒ ░█▓▓▒▒▒▒▒▓▒     ▒▓▒▒▒▒▒▒▓▒   ▒▓▒▒▓   ▓▓▒▒▒▒▒▒▒▒▓    ,0,0,0,0,0,0,0,0,0,0,0
     ▒▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓▓▓▒▒▒▒▒▓▒  ███░ ▒▓▒▒▒▒▓░ ░▒░  ▓▒▒▒ ▓▓▒▒▒▒▒▒▒▒▒▒▓   ,0,0,0,0,0,0,0,0,0,0,0
    ▒▓▒▒▒▒▒▓▒▓▒▒▒▒▒▒▒▓▓▓▓▓▒▒▒▒▒▒▓░ ▒███▓ ░▓▒▒▒▒▓ ▒███▓ ▒▓░▓█▒▒▒▒▒▒▒▒▒▒▒▒▓▒  ,0,0,0,0,0,0,0,0,0,0,0
   ▒▓▒▓▒▓▓▓▓▓▓▓▒▒▒▒▒▓▓▓▓▓▒▒▒▒░░▒▒▓░  ░░  ▓▒▒▒▒▒▓  ▓█▓  ▓▒░▒█▒▒▓▓▓▒▒▒▒▒▒▒▒▓  ,0,0,0,0,0,0,0,0,0,0,0
