                         █                                                 , Aaaah te voila enfin cela fait un moment que je t'attend. Prépare toi car le combat sera long et rude!! ,Oh; je constate que tu ne te débrouille pas si mal que ça finalement,2,Vilsvik utilise aura ténébreuse,Comment est-ce possible,3,(Dégaine son épée) Je lance mon dernier coup Cursed Spurring,Tu es à moi à présent,0,Argh ; tu.. ; tu es trop fort ; trop puissant pour moi...,Haha ; je m’en doutais !! Plus rien ne pourra m’arrêter !!!!!!!!!!
                        ▓█▓    ██▓▒░                                       ,1.Et vous; d'une méchanceté affligeante 2.Vous m'avez l'air bien placé pour parler de faiblesse physique; avec votre corps tout rabougris 3.Vos paroles sont aussi médiocres que vos déductions apparemment 4.(Vous décidez de rebrousser chemin; mais Vilsvik vous empêche de sortir), Et toi tu perds en éloquence. Mes paroles t'ont visiblement bien atteintes.,1,1.Ton aura ténébreuse n’a aucun effet sur moi grâce à mon courage 2. (Le héros utilise l’aura de lumière) 3. (Le héros se terre derrière un rocher pour éviter l’aura ténébreuse  ?  4. (Mince Je me suis fait attraper),Tu maîtrise donc l’aura de lumière ,2,1. (Dégaine son épée à son tour) Pour moi aussi ce sera le dernier AVAN SLASH (mais rate son attaque) 2. (Dégaine son épée à son tour) Pour moi aussi ce sera le dernier AVAN SLASH (Le héros réussit son attaque) 3. (Dégaine son épée à son tour) Pour moi aussi ce sera le dernier AVAN SLASH (mais au moment du coup l’épée se brise)  4. (Dégaine son épée à son tour) Pour moi aussi ce sera le dernier AVAN SLASH (Mais c’est une feinte il lui lance son épée et cours dans la direction opposée),AAAAARGH tu m’as eu je vais mourir,3,<end>,<end>
                       ████▓    ██████▓░                                   ,<end>,Oooh; je suis impressionné par autant de confiance en soi que possède,3,<end>,Ce n’est pas en vous enfuyant comme un lâche que vous me vaincrez,1,<end>,La chance est de mon côté,0,0,0
                      ▓██████▒  ▓████████░                                 ,0,Mais que fais tu? Tu abandonne maintenant? Si proche de la mort et si désespéré…,0,0,Je m’attendais à plus de difficulté de votre part,0,0,Tu ne t’échapperas pas,0,0,0
                      █████████▓██████████▓                                ,0,0,0,0,0,0,0,0,0,0,0
                     ▓██████████████████████▒                              ,0,0,0,0,0,0,0,0,0,0,0
                     ▓████████████████████████                             ,0,0,0,0,0,0,0,0,0,0,0
                     ▒███████████▓▓▓▓█████████▓                            ,0,0,0,0,0,0,0,0,0,0,0
                      █████████▒░░░░░░▓████████▒                           ,0,0,0,0,0,0,0,0,0,0,0
                      ░███████░░▓█▓▓▒▓▒ ░███▓▓▒█                           ,0,0,0,0,0,0,0,0,0,0,0
                  ░    ██████▓▒▓█▒░▒██░░░░█▓ ▓ ▓▒                          ,0,0,0,0,0,0,0,0,0,0,0
                  ▓▓    ██████░█▓    ▓▓░░░   ▓█▒░  ░                       ,0,0,0,0,0,0,0,0,0,0,0
                   ▓██  ░▓███████▒    █░░░░ ▒▓█▒▓▓█░                       ,0,0,0,0,0,0,0,0,0,0,0
                    ░▓██▒▓█▓████▓█▒  ▒█░ ░ ▒▓░▒▓█▒            ░            ,0,0,0,0,0,0,0,0,0,0,0
                       ▒█████▓███▓█▒▒█▓   ░▓░░ ░  ▓▒         ▒█            ,0,0,0,0,0,0,0,0,0,0,0
                          ▒███▓▓███▓ ▓█    ▓░▒▒▒██▓    ░     ▓█░           ,0,0,0,0,0,0,0,0,0,0,0
                            ░▓████▓█▓▒█▓  ▒▓████▓░     ▒█▓▒▒  ██░          ,0,0,0,0,0,0,0,0,0,0,0
                               ████▓▓█████████▒         ▓█▓▓█ ▓▓█▒         ,0,0,0,0,0,0,0,0,0,0,0
                                ▒███▓██▓█▓▓█░            █  ░███           ,0,0,0,0,0,0,0,0,0,0,0
                                  ██▓▓█▓▓██░            ██ ░███▒           ,0,0,0,0,0,0,0,0,0,0,0
                                  ░██▓█▓▓█▓              ████▓             ,0,0,0,0,0,0,0,0,0,0,0
                                    ███▓▓█▒               ██▓              ,0,0,0,0,0,0,0,0,0,0,0
                                    ▓██▓▓█▒               █▓               ,0,0,0,0,0,0,0,0,0,0,0
                                    ▓██▓▓██░            ▒█▒                ,0,0,0,0,0,0,0,0,0,0,0
                                    ██▓▓▓███▓          ▒█▒                 ,0,0,0,0,0,0,0,0,0,0,0
                                   ░██▓▓▓█████░       ▒█▒                  ,0,0,0,0,0,0,0,0,0,0,0
                                   ▒██▓▓▓█▓█ ▒██▒     █▓                   ,0,0,0,0,0,0,0,0,0,0,0
                                  ░██▓▓▓▓█▓█▓  ▓██▓  ██                    ,0,0,0,0,0,0,0,0,0,0,0
                                  ███▓▓▓█▓▓▓█░   ░████▒                    ,0,0,0,0,0,0,0,0,0,0,0
                                ▒███▓▓▓██▓▓▓██▒     ▒▓                     ,0,0,0,0,0,0,0,0,0,0,0
                               ▓███▓▓▓▓██▓▓▓███▓                           ,0,0,0,0,0,0,0,0,0,0,0
                             ▒████▓▓▓▓██▓▓▓▓█████░                         ,0,0,0,0,0,0,0,0,0,0,0
                           ▒█████▓▓▓▓▓█▓▓▓▓▓█▓▓███░                        ,0,0,0,0,0,0,0,0,0,0,0
                        ░▓██████▓▓▓▓▓█▓▓▓▓▓██▓▓▓███▒                       ,0,0,0,0,0,0,0,0,0,0,0
                     ░▓██████▓▓▓▓▓▓▓█▓▓▓▓▓▓██▓▓▓▓███▓                      ,0,0,0,0,0,0,0,0,0,0,0
                 ░▒▓████▓███▓▓▓▓▓▓▓█▓▓▓▓▓▓█▓▓█▓▓▓▓███▒                     ,0,0,0,0,0,0,0,0,0,0,0
             ▓███████▓█▓█▓▓▓▓▓▓▓▓██▓▓▓▓▓▓▓█▓▒▓█▓▓▓████▒                    ,0,0,0,0,0,0,0,0,0,0,0
              ██████▓▓██▓▓▓▓██▓▓▓█▓▓▓▓▓▓█▓▓██▒▓█▓▓▓████░                   ,0,0,0,0,0,0,0,0,0,0,0
             ▓█████▓▓▓█▓▓▓█▓▓▓▓▓█▓▓▓▓▓▓█▓▒▓██▓▓▓█▓▓▓█▓██                   ,0,0,0,0,0,0,0,0,0,0,0
            █████▓▒▓█▓▓███▓▓▓▓▓█▓▓▓█████▓▓██▓▓▓▓▓█▓▓█▓██▒                  ,0,0,0,0,0,0,0,0,0,0,0
           ████▒   ▓████▓▓█▓▓▓█▓███▓▓██  ██▓▓█▓▓▓▓█▓█▓███                  ,0,0,0,0,0,0,0,0,0,0,0
          ▓█▓░    █████▒ ▒▓▓██▓███▒  ██  ██▓▓█▓▓█▓███▓ ██                  ,0,0,0,0,0,0,0,0,0,0,0
          █▒     ▓███▒  ▓█▓█████▓   ▓█▓ ░█▒▒▓▓█▓▓▓▓██▓ ▓▓                  ,0,0,0,0,0,0,0,0,0,0,0
          ▓     ▒███  ▓█▓░████▓     ██  ██  ██░ ██▓███                     ,0,0,0,0,0,0,0,0,0,0,0
                ▓█▒      ▒███░      ██  ██  ▓█   █████                     ,0,0,0,0,0,0,0,0,0,0,0
                █▒      ░██▒        █▓ ░█▒   ▓    ▓██▒                     ,0,0,0,0,0,0,0,0,0,0,0
                ░       ██░        ▒█  ▒█          ██                      ,0,0,0,0,0,0,0,0,0,0,0
                       ▓█          ▒█  █▓          █▒                      ,0,0,0,0,0,0,0,0,0,0,0
                       █▒          ▒█  █░          █                       ,0,0,0,0,0,0,0,0,0,0,0
                                   ▒█ ░█                                   ,0,0,0,0,0,0,0,0,0,0,0
                                   ▒▓ ▓▓                                   ,0,0,0,0,0,0,0,0,0,0,0
                                   █▓ █▒                                   ,0,0,0,0,0,0,0,0,0,0,0
                                   █▒ █                                    ,0,0,0,0,0,0,0,0,0,0,0
                                   █  █                                    ,0,0,0,0,0,0,0,0,0,0,0
Vilsvik apparaît dans la pénombre afin de vous affronter,0,0,0,0,0,0,0,0,0,0,0
Condition : faire un score parfait,0,0,0,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,0,0
