                                                       ░▒▓▓▒          ,Tu n’aurais jamais du te tremper contre moi,Ah bah oui ; sinon ça frise ; je te comprend,1,Je suis un grand guerrier dans les mers,Arrgh ; mon seul point faible !,3,Je vais t’anéantir avec mes ultra-sons ,Oui ! Tu fais bien de le préciser ; c’est très important de faire attention à son audition ; retenez bien cela les enfants,0,Pumpolse se dégonfle et fuit,Pumpolse utilise ses ultra-sons et tu t’évanouis.
                              ░▒░▒▒▒░░           ░░░▒▒▒▒▒▒▒▓▓         ,1.Ne m’éclabousse pas hein ! Je n’aime pas avoir les cheveux mouillé ! 2.J’ai ma bouée canard ; je suis paré au combat ! 3.J’e n’ai pas peur de mouiller la chemise ; j’ai de quoi me sécher 4.Pour être un héro ; il faut savoir nager,Je la percerai avec piques !,0,1.Peut-être mais sur la terre tu ne vaut rien 2.Tu m’as plus l’air d’être un destrier ; tu veux une carotte ? 3.Ah ouais tu fais des sushis et tout du coup ? 4.Tu n’as pas intérêt à toucher à ma maman !,Je ne mange que des algues malotru !,2,1.Non !! Je vais perdre des points d’audition !! Et les oreilles ; c’est fragiles ; il faut faire attention ! 2.Tu vas plutôt me casser les oreilles avec ta voix de casserole 3.Et moi te détruire avec mon ultra-regard 4.Essaye toujours j’ai mes boules quies,Mais j’ai fait 5 ans de chorale pourtant,2,<end>,Il en profite pour te voler un fragment ! 
                         ░▒▓▓▓▓▒▒▒▒▒▓▓▓▓██▓▓▓▓▓▓▓▓▓▓▓▒▒▒▓▓▓██         ,<end>,Ne mets pas le sèche-cheveux dans l’eau !!!,2,<end>,Oui ; et je vais te découper en morceaux si tu continu avec tes remarques,1,<end>,Ton regard ne te serviras à rien dans ta tombe,1,0,<end>
                        ▓▓▓▒░   ░░░▒▒▒▒▒▒▒▒▒▒▓▒▓▓▓▓▓▓▓▓▓▓███░         ,0,Tu connais la technique pour me chasser ! Aaaaaah !,3,0,Mais non ; les océans ; cervelle de concombre de mer,0,0,Eh c’est pas du jeu d’utiliser des objets !!,3,0,0
                      ░▓▒░░   ░░▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓▓▓▓▓▓▓▓█▓            ,0,0,0,0,0,0,0,0,0,0,0
                      ▓▒▒░░░░▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓▓▓▓▓▓█░             ,0,0,0,0,0,0,0,0,0,0,0
  ▒▒▒▒▒▒▒▒▒▒░░     ░▒▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓▓▓███▓▒░          ,0,0,0,0,0,0,0,0,0,0,0
░▓▒░░▒▒▒▒▒▒▒▓▓▓▓▓▓▓██▓▓▒▒▒▒▒▒▒█▒██▒█▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓▓▓▓███▓▓▓▓▒▒      ,0,0,0,0,0,0,0,0,0,0,0
        ░▓█████▓▒▒▓▓▓▓▓▓██▒▒▒█▒████░█▒▒▒▒▒▒▒▒▒▒▓▓▓▓▓▓▓▓▓██▓▒▒▒▓▓█▓    ,0,0,0,0,0,0,0,0,0,0,0
            ▒████▓▒▓▓▓▓████▒▒▒█▒██▒█▒▒▒▒▒▒▒▒▒▒▓▓▓▓▓▓▓▓▓▓▓█▓▓▓▓▓█▒     ,0,0,0,0,0,0,0,0,0,0,0
               ▒███████▓▓▓█▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓▓▓▓▓▓▓▓██▓▓▓█▓      ,0,0,0,0,0,0,0,0,0,0,0
  ░         ░▒▓████▓░ ▒█████▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓▓▓▓▓▓▓▓▓▓▓██       ,0,0,0,0,0,0,0,0,0,0,0
 ▒░░▒▒░▒▒▓▓███▓▒        ░▓████▓▓▒▒▒▒▒▒▒▒▒▒▓▓▒▒▒▒▒▒▓▓▓▓▓▓▓▓▓████       ,0,0,0,0,0,0,0,0,0,0,0
 ░▒                        ░▒███▓▓▓▓▓▓▓▒▓▓▓▒▒▒▒▒▒▒▓▓▓▓▓▓████▓▒▒░▒▓▓▓▓▒,0,0,0,0,0,0,0,0,0,0,0
  ░▒▒▒▒▒▒▒▒▒▒▒▒▒▒░░░  ░░░░░▒  ▓███████▓█▓▒░░▒▒▒▒▒▓▓▓█▓███▓▒▓▒░ ███▓▓▓▓,0,0,0,0,0,0,0,0,0,0,0
               ░░▓▓▒▓▒░░░░▒░░▓▒░ ░░▒▓▓███▒░  ░▒▒▓▓▓▓▓██▓░   ░░▒██████▓,0,0,0,0,0,0,0,0,0,0,0
                 ▒▒  ▓▓▓▒▒▒▓▓   ░    ░░░▒▓▓░  ░▒▒▓▓▓▓██▒░    ▒██▓▓░▓▓ ,0,0,0,0,0,0,0,0,0,0,0
               ░▒ ▒    ░▒▒▒░   ▒    ░▒▒   ▒▓▓░ ░▒▒▓▓▓▓█▓▒▓▓▓█▓▒█▒ ░░  ,0,0,0,0,0,0,0,0,0,0,0
               ▓▒░▓▓           ▒░    ░▓     ▒▓▓▒▒▒▒▓▓▓▓█▓░▒▒░ ▒█ ░    ,0,0,0,0,0,0,0,0,0,0,0
                ░░▒▓░▒▒         ▒░ ░▓▓░      ░▓▓█▓▒▒▒▓▓▓█▓░░░ ▓█▒░▒   ,0,0,0,0,0,0,0,0,0,0,0
                    ▓▒   ░░      ▒▒▓█▒     ░░░  ▒▓██▓▓▒▓▓██▒ ▒████▒   ,0,0,0,0,0,0,0,0,0,0,0
                    ░   ░░░▓░           ░░░░░░▒    ▒▓██████░▒██▓▓░    ,0,0,0,0,0,0,0,0,0,0,0
                    ▒  ░▒▒▓█▒░░░░░░░░░░░░░░▒░▒▓▒░     █▓▒░░▓█▓ ░      ,0,0,0,0,0,0,0,0,0,0,0
                    ▓▒▒▒▒██▓▒░░░▒░▒▒▒░▒▒▒▒░░▒░░▒▒▒▓▓▒▒▒░░▒░██░ ▒      ,0,0,0,0,0,0,0,0,0,0,0
                    ░░    ░▓▓▒▒░░░░▓  ░▒▒▒▓▒░░░░░░░░░░▒▓█▓  ██▒▒      ,0,0,0,0,0,0,0,0,0,0,0
                           ░ ▒▓█▓▒▒▓░  ▒░▒█▓▒▒▒▒▒▒▒▒▓█▓██▓   ░▒       ,0,0,0,0,0,0,0,0,0,0,0
                           ▒ ▒▒░   ░▒░  ▒▒▒▒░███▒     ▒▒▓▓            ,0,0,0,0,0,0,0,0,0,0,0
                           ▒▒        ░ ░                ░             ,0,0,0,0,0,0,0,0,0,0,0
Un Pumpolse apparaît,0,0,0,0,0,0,0,0,0,0,0
Condition : faire un score de 6,0,0,0,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,0,0
