1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1
1   1,3   1,57<-1,57||1,57||2house_hero_2,57||3,3,35 <,5   1,3,3,67[.1,67.]1,3,3,67o°1,67[]1,3,3,1   1
1   1,1   1,1   1,1   1,1   1,1   1,3,3,57o 1,3,3,3,3,3,3,3,3,3,3,1   1
1   1,35 <,67°o1,35> ,3,3,3,35 <,57 .1,5   1,54. 1,57o 1,57. 1,53. 1,54 .1,5   1,50. 1,5   1,35--,1   1
1   1,35 <,67o 1,35> ,3,3,3,3,3,3,74^^4Gimli,3,3,3,3,3,3,3,3,1   1
1   1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1   1
1   1,3,35 <,67 °1,35> ,35 <,67oo1,35> ,3,3,3,3,35 <,67o 1,35> ,35 <,6   1,35> ,3,1   1
1   1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1   1
1   1,35 <,6   1,35> ,35 <,67°o1,35> ,3,3,3,3,3,3,35 <,67oo1,72^.4Bombur,35 <,67 °1,35> ,1   1
1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,37--2village_south,37--2village_south,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1
