7,70/\,7,7,7,70/\,7,7,7,7,7,7,7,7,7,7,7,7,70/\,7,7,7,7,70/\,7,7,7,7,7,7,7,7,7,70/\,7,7,7,7,7,7,7,70/\,7,7,7,7,7,7,7,70/\,7,7,7,7,70/\,7,7,7,7,7,70/\,7,7,7
70 /,70\/,70\ ,7,70 /,70\/,70\ ,7,7,70/\,7,7,7,7,7,70/\,7,70 /,70\/,70\ ,7,7,70 /,70\/,70\ ,7,70/\,7,7,7,7,7,70 /,70\/,70\ ,7,7,7,70/\,7,70 /,70\/,70\ ,7,7,70/\,7,7,70 /,70\/,70\ ,7,7,70 /,70\/,70\ ,7,7,7,70 /,70\/,70\ ,7,7
7,75||,7,7,7,75||,7,7,70 /,70\/,70\ ,7,7,7,70 /,70\/,70\ ,7,75||,7,7,7,7,75||,7,70 /,70\/,70\ ,7,7,7,70/\,7,75||,7,7,7,70 /,70\/,70\ ,7,75||,7,7,70 /,70\/,70\ ,7,7,75||,7,70/\,7,7,75||,7,70/\,7,7,7,75||,7,7,7
7,7,7,70/\,7,7,70/\,7,7,75||,7,70/\,7,7,7,75||,7,7,7,70/\,7,7,7,7,70/\,7,75||,7,70/\,7,70 /,70\/,70\ ,7,7   1,7   1,7   1,7   1,75||1,7   1,7   1,7   1,7   1,7   1,7,75||,7,70/\,7,7,70 /,70\/,70\ ,7,7,70 /,70\/,70\ ,7,7,7,7,70/\,7
7,7,70 /,70\/,70\ ,70 /,70\/,70\ ,7,7,70 /,70\/,70\ ,7,7,7,7,7,70 /,70\/,70\ ,7,7,70 /,70\/,70\ ,7,70 /,70\/,70\ ,7,75||1,7   1,7   1,0,0,0,0,0,0,0,0,0,0,7   1,7   1,70 /1,70\/,70\ ,7,70/\,75||,7,7,7,7,75||,7,7,7,7,70 /,70\/,70\ 
7,7,7,75||,7,7,75||,7,7,7,7,75||,7,7,7,7,70/\,7,7,75||,7,7,70/\,7,75||,7,7,7   1,75||1,7   1,7   1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75||1,7   1,70 /,70\/,70\ ,7,70/\,7,7,7,7,7,70/\,7,7,75||,7
7,7,7,7,7,7,7,70/\,7,7,7,7,7,7,7,70 /,70\/,70\ ,7,7,7,70 /,70\/,70\ ,7   1,7   1,7   1,0,0,0,0,0,0,0,0,0,0,02* ,0,0,0,0,0,0,04* ,0,0,0,0,7   1,75||1,7,70 /,70\/,70\ ,7,7,7,70 /,70\/,70\ ,7,7,7
7,7,70/\,7,7,7,70 /,70\/,70\ ,7,70/\,7,7,7,70/\,7,75||,7,7,7,7   1,7   1,75||1,7   1,0,0,0,0,0,0,05* ,0,0,0,0,0,05* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7   1,7,75||,7,70/\,7,7,7,75||,7,7,7,7
7,70 /,70\/,70\ ,7,7,7,75||,7,70 /,70\/,70\ ,7,70 /,70\/,70\ ,7,7   1,7   1,7   1,0,0,0,0,0,0,0,0,0,0,0,06* ,0,0,0,0,0,0,02* ,0,0,0,06* ,0,0,0,0,0,0,0,0,0,7   1,7,70 /,70\/,70\ ,70/\,7,7,7,70/\,7,7
7,7,75||,70/\,7,7,7,7,7,7,75||,7,7,7,75||,7   1,7   1,0,0,0,0,0,0,0,0,0,02* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05* ,0,0,0,0,03 *,0,7   1,7,75||,70 /,70\/,70\ ,7,70 /,70\/,70\ ,7
7,7,70 /,70\/,70\ ,7,7,7,7,7,7,7,7,7,7   1,0,0,0,0,0,0,0,05* ,0,0,0,0,0,0,76[-1,76--1,76--1,76--1,76--1,76-]1,0,0,0,0,0,0,03* ,0,0,0,0,0,0,0,0,0,0,0,7   1,7,7,7,75||,7,7,7,75||,7,7
7,7,7,75||,7,7,7,70/\,7,7,70/\,7,7,7   1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76[/1,3,3,3,3,3,3,76\]1,0,0,02* ,0,0,0,0,0,0,0,0,0,06_|,1   1,06\ ,0,0,0,7   1,7,7,7,7,7,7,7,7,7
7,7,7,7,70/\,7,70 /,70\/,70\ ,70 /,70\/,70\ ,7   1,0,0,0,04* ,0,0,0,0,06* ,0,0,0,0,0,76[|1,3,3,3,3,3,3,3,3,76|]1,0,0,0,0,0,0,0,0,06\ ,0,06_|,1   1,16 _1,16_\1,0,0,0,7   1,70/\,7,7,7,7,70/\,7,7,7
7,7,7,70 /,70\/,70\ ,7,75||,7,7,75||,7   1,0,0,0,0,0,0,0,0,0,0,0,0,0,05* ,0,76[|1,3,3,3,3,3,3,3,3,76|]1,0,0,0,0,06* ,0,0,67| 1,07|_1,06_|,1   1,16 _1,16_|1,67 |1,04* ,0,0,70 /1,70\/,70\ ,7,7,70 /,70\/,70\ ,7,7
7,70/\,7,7,75||,7,7,7,7,7,7   1,0,0,0,0,0,06* ,0,0,0,03* ,0,0,0,0,0,0,76[|1,3,3,3,37||,37||,3,3,3,76|]1,0,0,05* ,0,0,0,0,67| 1,16| 1,1   1,16 _1,16_|1,6   1,67 |1,0,0,0,7   1,75||,7,7,7,7,75||,7,7,7
70 /,70\/,70\ ,7,7,7,7,7,7,7   1,0,0,0,0,0,0,0,0,0,0,0,0,0,04* ,0,0,0,76[|1,3,3,3,37||,37||,3,3,3,76|]1,0,0,0,0,0,0,0,67| 1,16|_1,16__1,16_|1,6   1,67__1,67 |1,0,0,0,7   1,7,70/\,7,7,7,7,7,7,7
7,75||,7,70/\,7,7,7,7,7   1,0,0,04* ,0,0,0,03* ,0,0,0,0,0,0,0,0,0,0,0,76[|1,3,3,3,3,3,3,3,3,76|]1,0,0,0,0,0,0,0,06 \,67|_1,67__1,67__1,67__1,57||1,67_|1,0,0,0,7   1,70 /,70\/,70\ ,7,7,7,7,7,7
7,7,70 /,70\/,70\ ,7,70/\,7,7   1,0,0,0,0,0,0,0,0,0,04* ,0,0,0,0,0,02* ,0,0,76[|1,3,3,3,3,3,3,3,3,76|]1,0,0,0,0,0,0,0,0,03* ,0,0,0,0,0,0,0,7   1,7,7,75||,7,7,70/\,7,7,70/\,7
7,7,7,75||,7,70 /,70\/,70\ 1,0,0,0,0,0,0,06__,0,0,0,0,0,0,06* ,0,0,0,0,0,0,76[\1,3,3,3,3,3,3,76/]1,0,0,0,0,0,0,02* ,0,0,0,0,0,04* ,0,0,0,0,7   1,7,7,7,7,70 /,70\/,70\ ,70 /,70\/,70\ 
7,7,7,7,7,7,75||,7   1,0,0,0,0,0,06 /,3   1,06|_,0,0,0,0,0,0,0,0,0,0,0,0,0,76[\1,3,3,3,3,76/]1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02* ,0,0,0,7   1,7,70/\,7,7,7,75||,7,7,75||,7
7,70/\,7,7,7,7,7   1,0,0,0,0,0,03 *,36/_1,3   1,3   1,06|_,0,06/ ,0,03* ,0,0,0,0,0,0,0,0,0,76[ 1,57: ,57 :,76 ]1,0,0,0,0,02* ,0,0,0,0,0,0,0,06_|,2   1,06\ ,0,0,0,0,7   1,70 /,70\/,70\ ,7,7,7,7,70/\,7,7
